항목,지역,연도,환자수,단위
감기,계,2021-06,1435857,명
감기,계,2021-07,1136229,명
감기,계,2021-08,1020284,명
감기,계,2021-09,1515004,명
감기,계,2021-10,1917487,명
감기,계,2021-11,2499322,명
감기,계,2021-12,1947013,명
감기,계,2022-01,1741914,명
감기,계,2022-02,2360190,명
감기,계,2022-03,3861312,명
감기,계,2022-04,2694340,명
감기,계,2022-05,2006160,명
감기,계,2022-06,1713302,명
감기,계,2022-07,2137741,명
감기,계,2022-08,2348529,명
감기,계,2022-09,2319480,명
감기,계,2022-10,2677329,명
감기,계,2022-11,3141738,명
감기,계,2022-12,3735610,명
감기,계,2023-01,2880209,명
감기,계,2023-02,2481977,명
감기,계,2023-03,3332298,명
감기,계,2023-04,3836834,명
감기,계,2023-05,3599915,명
감기,계,2023-06,2769708,명
감기,계,2023-07,3007134,명
감기,계,2023-08,2700803,명
감기,계,2023-09,2985135,명
감기,계,2023-10,3701297,명
감기,계,2023-11,4267988,명
감기,계,2023-12,4613288,명
감기,계,2024-01,3928491,명
감기,계,2024-02,3074537,명
감기,계,2024-03,3521463,명
감기,계,2024-04,3453062,명
감기,계,2024-05,3142553,명
감기,계,2024-06,2479857,명
감기,서울,2021-06,250500,명
감기,서울,2021-07,199441,명
감기,서울,2021-08,181251,명
감기,서울,2021-09,256218,명
감기,서울,2021-10,309729,명
감기,서울,2021-11,434823,명
감기,서울,2021-12,343831,명
감기,서울,2022-01,296898,명
감기,서울,2022-02,433199,명
감기,서울,2022-03,740761,명
감기,서울,2022-04,503544,명
감기,서울,2022-05,365912,명
감기,서울,2022-06,316321,명
감기,서울,2022-07,418740,명
감기,서울,2022-08,436440,명
감기,서울,2022-09,422396,명
감기,서울,2022-10,492162,명
감기,서울,2022-11,561117,명
감기,서울,2022-12,653363,명
감기,서울,2023-01,509869,명
감기,서울,2023-02,454720,명
감기,서울,2023-03,621852,명
감기,서울,2023-04,755263,명
감기,서울,2023-05,695653,명
감기,서울,2023-06,539058,명
감기,서울,2023-07,574002,명
감기,서울,2023-08,505990,명
감기,서울,2023-09,567099,명
감기,서울,2023-10,706516,명
감기,서울,2023-11,825817,명
감기,서울,2023-12,892889,명
감기,서울,2024-01,757447,명
감기,서울,2024-02,601955,명
감기,서울,2024-03,660593,명
감기,서울,2024-04,680781,명
감기,서울,2024-05,601186,명
감기,서울,2024-06,482690,명
감기,부산,2021-06,95840,명
감기,부산,2021-07,76384,명
감기,부산,2021-08,70325,명
감기,부산,2021-09,104698,명
감기,부산,2021-10,138782,명
감기,부산,2021-11,159484,명
감기,부산,2021-12,138651,명
감기,부산,2022-01,131854,명
감기,부산,2022-02,194961,명
감기,부산,2022-03,276920,명
감기,부산,2022-04,161926,명
감기,부산,2022-05,131809,명
감기,부산,2022-06,111845,명
감기,부산,2022-07,136923,명
감기,부산,2022-08,161162,명
감기,부산,2022-09,142637,명
감기,부산,2022-10,173466,명
감기,부산,2022-11,220140,명
감기,부산,2022-12,265044,명
감기,부산,2023-01,201758,명
감기,부산,2023-02,177776,명
감기,부산,2023-03,220472,명
감기,부산,2023-04,246530,명
감기,부산,2023-05,245530,명
감기,부산,2023-06,199224,명
감기,부산,2023-07,209117,명
감기,부산,2023-08,181603,명
감기,부산,2023-09,184046,명
감기,부산,2023-10,235872,명
감기,부산,2023-11,277997,명
감기,부산,2023-12,310737,명
감기,부산,2024-01,260485,명
감기,부산,2024-02,214109,명
감기,부산,2024-03,237916,명
감기,부산,2024-04,234532,명
감기,부산,2024-05,213370,명
감기,부산,2024-06,164455,명
감기,인천,2021-06,70486,명
감기,인천,2021-07,52472,명
감기,인천,2021-08,46754,명
감기,인천,2021-09,71974,명
감기,인천,2021-10,89655,명
감기,인천,2021-11,121235,명
감기,인천,2021-12,93995,명
감기,인천,2022-01,83749,명
감기,인천,2022-02,119254,명
감기,인천,2022-03,178994,명
감기,인천,2022-04,129015,명
감기,인천,2022-05,99478,명
감기,인천,2022-06,88600,명
감기,인천,2022-07,107183,명
감기,인천,2022-08,115913,명
감기,인천,2022-09,121133,명
감기,인천,2022-10,139242,명
감기,인천,2022-11,160209,명
감기,인천,2022-12,195450,명
감기,인천,2023-01,143782,명
감기,인천,2023-02,124675,명
감기,인천,2023-03,169696,명
감기,인천,2023-04,196358,명
감기,인천,2023-05,179901,명
감기,인천,2023-06,144639,명
감기,인천,2023-07,158076,명
